,_runtime,_step,_timestamp,actor_grad_norm,encoder_grad_norm,global_grad_norm,planner_grad_norm,train_act_with_enc_loss,train_act_with_plan_loss,train_loss,train_reg_loss,valid_act_with_enc_loss,valid_act_with_plan_loss,valid_gripper_loss,valid_loss,valid_max_position_loss,valid_max_rotation_loss,valid_position_loss,valid_reg_loss,valid_rotation_loss
0,348,80,1613433861,0.03589487820863724,0.01564110442996025,0.03919229283928871,0.0003104184288531542,0.010509289801120758,0.018491694703698158,0.010941458866000175,14.405580520629883,0.008825592696666718,0.01509781088680029,0.03446356952190399,0.015484333038330078,1.6773414611816406,3.488654136657715,0.007630014326423407,12.884073257446289,0.016110355034470558
1,383,100,1613433896,0.03470100089907646,0.017577506601810455,0.038953665643930435,0.00045540492283180356,0.008283263072371483,0.015444958582520485,0.008727171458303928,14.796931266784668,0.0075485012494027615,0.014156203716993332,0.03312614560127258,0.014463494531810284,1.5459295511245728,3.3383188247680664,0.007132317870855331,10.243040084838867,0.014856773428618908
2,817,340,1613434330,0.024326646700501442,0.016366107389330864,0.029355615377426147,0.0006833024672232568,0.003370918333530426,0.010945151560008526,0.0036585505586117506,9.587743759155273,0.0033359890803694725,0.010883600451052189,0.02763071283698082,0.011179918423295021,0.9302561283111572,3.1091537475585938,0.004730153828859329,9.87727165222168,0.011454672552645206
3,1548,740,1613435061,0.019973885267972946,0.015960359945893288,0.025600621476769447,0.0005780580686405301,0.0023890261072665453,0.011786739341914654,0.0026316517032682896,8.08752155303955,0.0022714068181812763,0.011398496106266975,0.028479665517807007,0.011638430878520012,1.059794545173645,2.9354465007781982,0.005023359786719084,7.997842788696289,0.012079908512532711
4,1953,960,1613435466,0.026483288034796715,0.019681677222251892,0.03304139897227287,0.0005565007450059056,0.0025398507714271545,0.012288923375308514,0.002778026508167386,7.939182281494141,0.002570145530626178,0.011677506379783154,0.0321483351290226,0.01189974881708622,0.9705243706703186,2.8564724922180176,0.004484913311898708,7.408078670501709,0.012046489864587784
5,2101,1040,1613435614,0.026957044377923012,0.01797531358897686,0.0324292853474617,0.0006359543185681105,0.002374466974288225,0.01203351654112339,0.0026079982053488493,7.784379482269287,0.002770103979855776,0.011840089224278927,0.03564438596367836,0.012063008733093739,1.0207613706588745,2.730588436126709,0.004345118999481201,7.430659770965576,0.011400293558835983
6,3030,1540,1613436543,0.01984373852610588,0.014343291521072388,0.024524599313735962,0.000500233203638345,0.0016642736736685038,0.011117148213088512,0.0018836138769984245,7.311347007751465,0.0024556247517466545,0.011767778545618057,0.03610145300626755,0.011989057064056396,0.925019383430481,2.6378262042999268,0.004117125645279884,7.375943183898926,0.011307206936180592
7,3104,1580,1613436617,0.01777304895222187,0.012256914749741554,0.021617334336042404,0.000513992621563375,0.0016791230300441384,0.011386268772184849,0.0019017180893570185,7.4198317527771,0.002403725404292345,0.011602634564042091,0.036979399621486664,0.011827122420072556,0.9084940552711487,2.801792860031128,0.0040582092478871346,7.482958793640137,0.010688137263059616
8,3733,1920,1613437246,0.014157244935631752,0.012271184474229813,0.018769115209579468,0.0005544179584830999,0.0018585268408060074,0.011740362271666527,0.0020908762235194445,7.744986057281494,0.001765692955814302,0.011381082236766815,0.03232596069574356,0.011602510698139668,0.9527237415313721,2.697458028793335,0.004406959284096956,7.380964279174805,0.011373578570783138
9,3883,2000,1613437396,0.014524091966450214,0.012701583094894886,0.019314613193273544,0.0005711294943466783,0.0017721184995025396,0.011853688396513462,0.0020052858162671328,7.772233009338379,0.0016848144587129354,0.011641920544207096,0.031240753829479218,0.011872364208102226,1.0350303649902344,2.805452346801758,0.004549435339868069,7.681417465209961,0.012201461009681225
10,3994,2060,1613437507,0.013668237254023552,0.011530295945703983,0.01791929081082344,0.0005341974319890141,0.0017657401040196419,0.011643027886748314,0.001997009851038456,7.708984375,0.0016951970756053925,0.01152804121375084,0.030396118760108948,0.011763546615839005,1.067931890487671,3.095852851867676,0.004594151861965656,7.850196838378906,0.012172570452094078
11,4552,2360,1613438065,0.024620817974209785,0.016435028985142708,0.02964547649025917,0.0005557247204706073,0.0017394196474924684,0.012434462085366249,0.0019764055032283068,7.899538993835449,0.002539247740060091,0.012272514402866364,0.039136409759521484,0.012499854899942875,0.7648475170135498,2.8809685707092285,0.003778675338253379,7.57798957824707,0.011811722069978714
12,5223,2720,1613438736,0.020077019929885864,0.013188649900257587,0.024075791239738464,0.00042872532503679395,0.0014444562839344144,0.01126234233379364,0.0016647226875647902,7.3422088623046875,0.002262757159769535,0.011545976623892784,0.03788129985332489,0.011771587654948235,0.7444632053375244,2.8223416805267334,0.0036300108768045902,7.520390510559082,0.01068350113928318
