,_runtime,_step,_timestamp,actor_grad_norm,actor_grad_norm_clipped,encoder_grad_norm,encoder_grad_norm_clipped,global_grad_norm,planner_grad_norm,planner_grad_norm_clipped,test,test2,train_act_with_enc_loss,train_act_with_plan_loss,train_loss,train_reg_loss,valid_act_with_enc_loss,valid_act_with_plan_loss,valid_gripper_loss,valid_loss,valid_max_position_loss,valid_max_rotation_loss,valid_position_loss,valid_reg_loss,valid_rotation_loss
0,439,40,1612623745,0.03459769859910011,0.03459769859910011,0.0043587046675384045,0.0043587046675384045,0.034889403730630875,3.3785927371354774e-05,0.00033785923733375967,0,0,0.013791034929454327,0.01812720112502575,0.013948504813015461,5.248990535736084,0.011083351448178291,0.015003581531345844,0.03241283446550369,0.015291612595319748,2.3206560611724854,4.7298359870910645,0.007930124178528786,9.601044654846191,0.01627395488321781
1,1027,320,1612624333,0.04329352825880051,0.04329352825880051,0.01427709124982357,0.01427709124982357,0.04561567306518555,0.000419688003603369,0.004196879919618368,0,0,0.004706491716206074,0.010433608666062355,0.0049345302395522594,7.601279258728027,0.004086358472704887,0.009324931539595127,0.02434525452554226,0.009527511894702911,0.9784927368164062,3.922104597091675,0.0036434330977499485,6.752691745758057,0.0099996542558074
2,1701,640,1612625007,0.03499787300825119,0.03499787300825119,0.012439197860658169,0.012439197860658169,0.037230562418699265,0.0006906883209012449,0.006906882859766483,0,0,0.0032369873952120543,0.009961769916117191,0.0034419242292642593,6.831215858459473,0.0030188122764229774,0.009029215201735497,0.027610844001173973,0.009223376400768757,0.8043389320373535,4.047638416290283,0.0029953860212117434,6.47204065322876,0.008869167417287827
3,1830,700,1612625136,0.03195524960756302,0.03195524960756302,0.011624404229223728,0.011624404229223728,0.034034259617328644,0.00036844995338469744,0.003684499766677618,0,0,0.0028323139995336533,0.009715571999549866,0.0030348061118274927,6.749731540679932,0.002611431758850813,0.008994077332317829,0.02630554884672165,0.009180889464914799,0.8333761096000671,3.844097137451172,0.002881260123103857,6.227075576782227,0.009336404502391815
4,1993,780,1612625299,0.037147849798202515,0.037147849798202515,0.012670104391872883,0.012670104391872883,0.03930153697729111,0.0006247209385037422,0.0062472098506987095,0,0,0.002951623871922493,0.01013757660984993,0.003155479906126857,6.7952117919921875,0.0029482683166861534,0.009297050535678864,0.028944499790668488,0.00948490109294653,0.8440981507301331,3.5872135162353516,0.0028897752054035664,6.261704444885254,0.009155172854661942
5,2240,900,1612625546,0.03337172418832779,0.03337172418832779,0.01175910048186779,0.01175910048186779,0.03544335439801216,0.0005625515477731824,0.005625514313578606,0,0,0.002599901519715786,0.009962087497115135,0.0027984031476080418,6.616705417633057,0.0025258995592594147,0.009260417893528938,0.028973650187253952,0.009446600452065468,0.7178792357444763,3.8828847408294678,0.002579027321189642,6.206094741821289,0.009370733052492142
6,2868,1200,1612626174,0.029758114367723465,0.029758114367723465,0.010639606043696404,0.010639606043696404,0.0316452756524086,0.0006292149773798883,0.006292150355875492,0,0,0.002359662903472781,0.010195158421993256,0.0025617319624871016,6.735644340515137,0.0023477550130337477,0.009573925286531448,0.03003012016415596,0.00976582057774067,0.7961982488632202,4.10352087020874,0.0025868762750178576,6.3964972496032715,0.009742243215441704
7,3120,1320,1612626426,0.02571382001042366,0.02571382001042366,0.009197992272675037,0.009197992272675037,0.027337482199072838,0.00047554229968227446,0.004755422472953796,0,0,0.0022113469894975424,0.010151059366762638,0.002416527597233653,6.839354038238525,0.002231885213404894,0.00944695807993412,0.02948179468512535,0.009640352800488472,0.8456682562828064,3.8192782402038574,0.002502532210201025,6.4464945793151855,0.00971310492604971
8,3295,1400,1612626601,0.032500483095645905,0.032500483095645905,0.013765704818069935,0.013765704818069935,0.03535996749997139,0.0008410915033891797,0.008410914801061153,0,0,0.0023967258166521788,0.01069044042378664,0.002603260800242424,6.884483337402344,0.0025096058379858732,0.009587608277797699,0.0308750681579113,0.009776865132153034,0.8063340187072754,3.90897536277771,0.0026791230775415897,6.308587074279785,0.009400270879268646
9,3466,1480,1612626772,0.026780808344483376,0.026780808344483376,0.011040759272873402,0.011040759272873402,0.029044032096862793,0.0006750814500264823,0.006750814616680145,0,0,0.0021629829425364733,0.01035949494689703,0.002371519338339567,6.951224327087402,0.002259489381685853,0.009591922163963318,0.02974652126431465,0.009788013994693756,0.7725757360458374,3.900237798690796,0.002552726538851857,6.536411285400391,0.009912917390465736
