,_runtime,_step,_timestamp,actor_grad_norm,beta,convergence_plot,encoder_grad_norm,planner_grad_norm,train_act_with_enc_loss,train_act_with_plan_loss,train_loss,train_reg_loss,valid_act_with_enc_loss,valid_act_with_plan_loss,valid_gripper_loss,valid_loss,valid_max_position_loss,valid_max_rotation_loss,valid_position_loss,valid_reg_loss,valid_rotation_loss,z_enc,z_plan
0,323,40,1612319368,0.031886521726846695,2.999999742314685e-05,,0.004795593675225973,3.093233681283891e-05,0.016539862379431725,0.01963956467807293,0.016598090529441833,1.940779685974121,0.01346568576991558,0.016224488615989685,0.03386424481868744,0.01633027009665966,2.3497695922851562,4.69631814956665,0.009330163709819317,3.5260791778564453,0.017238887026906013,,
1,358,60,1612319403,0.03356996551156044,2.999999742314685e-05,,0.006345636676996946,0.00019796923152171075,0.012057008221745491,0.015353201888501644,0.012240240350365639,6.1077470779418945,0.012007709592580795,0.014571613632142544,0.03083913028240204,0.014782330952584743,2.210063934326172,4.499929428100586,0.0072514270432293415,7.023863792419434,0.01646929234266281,,
2,395,80,1612319440,0.026118192821741104,2.999999742314685e-05,,0.007931633852422237,0.00045318418415263295,0.010606588795781136,0.013555765151977539,0.010828528553247452,7.397938251495361,0.009763997048139572,0.012674846686422825,0.028400730341672897,0.012939988635480404,2.0853681564331055,4.401483058929443,0.006432298570871353,8.83803653717041,0.013675435446202755,,
3,582,180,1612319627,0.052734944969415665,2.999999742314685e-05,,0.01886153221130371,0.000633434799965471,0.011680254712700844,0.015343098901212215,0.011979451403021812,9.973183631896973,0.008463925682008266,0.012382923625409603,0.025973856449127197,0.012544132769107819,1.755157470703125,4.251611232757568,0.005458157043904066,5.373657703399658,0.01477737631648779,,
4,619,200,1612319664,0.027075814083218575,2.999999742314685e-05,,0.010518152266740799,0.0005366717814467847,0.007395793218165636,0.010908354073762894,0.007609286345541477,7.1164398193359375,0.00660929037258029,0.009668112732470036,0.022002460435032845,0.009909057058393955,1.5417084693908691,3.994080066680908,0.004549126606434584,8.03146743774414,0.010675650089979172,,
5,656,220,1612319701,0.0312582291662693,2.999999742314685e-05,,0.015258526429533958,0.0005981000140309334,0.006212941836565733,0.00981882307678461,0.006458203308284283,8.175395011901855,0.006172806024551392,0.010058358311653137,0.02472337894141674,0.010264948941767216,1.5393033027648926,3.921083688735962,0.004217559937387705,6.886428356170654,0.01101081632077694,,
6,691,240,1612319736,0.027941375970840454,2.999999742314685e-05,,0.011234419420361519,0.00042229105019941926,0.005745823960751295,0.009427022188901901,0.005951800383627415,6.865912437438965,0.005758718121796846,0.009069278836250305,0.022636618465185165,0.009297076612710953,1.398983120918274,3.5732579231262207,0.003993503749370575,7.5932698249816895,0.009622608311474323,,
7,727,260,1612319772,0.025722164660692215,2.999999742314685e-05,,0.01184329204261303,0.00036508889752440155,0.0053320894949138165,0.009194344282150269,0.005546055734157562,7.132208824157715,0.004899861291050911,0.00885123759508133,0.023308170959353447,0.009047135710716248,1.270614743232727,4.06571626663208,0.003704985836520791,6.529913902282715,0.009178511798381805,,
8,838,320,1612319883,0.04038752242922783,2.999999742314685e-05,,0.015080212615430355,0.00044521252857521176,0.005444318987429142,0.009500116109848022,0.005655746441334486,7.047576904296875,0.0049973647110164165,0.00881380494683981,0.02396273799240589,0.009039528667926788,1.100263237953186,3.716275930404663,0.003633626038208604,7.5241241455078125,0.008944339118897915,,
9,874,340,1612319919,0.04488549381494522,2.999999742314685e-05,,0.01601065881550312,0.0005238684243522584,0.007902645505964756,0.011696777306497097,0.008118209429085255,7.185432434082031,0.005148059222847223,0.00910316500812769,0.02271418087184429,0.009273274801671505,1.1343413591384888,4.051781177520752,0.0036617559380829334,5.67024564743042,0.01000757422298193,,
10,914,360,1612319959,0.03568452224135399,2.999999742314685e-05,,0.014781581237912178,0.0005060150870122015,0.004749503452330828,0.008615813218057156,0.00494301738217473,6.450469017028809,0.004582696128636599,0.007944274693727493,0.021258585155010223,0.008127511478960514,1.0495356321334839,3.9255449771881104,0.0031638594809919596,6.10787296295166,0.00828658789396286,,
