,_runtime,_step,_timestamp,actor_grad_norm,actor_grad_norm_clipped,beta_result,encoder_grad_norm,encoder_grad_norm_clipped,planner_grad_norm,planner_grad_norm_clipped,train_act_with_enc_loss_result,train_act_with_plan_loss_result,train_loss_result,train_reg_loss_result,valid_act_with_enc_loss_result,valid_act_with_plan_loss_result,valid_gripper_loss_result,valid_loss_result,valid_max_position_loss_result,valid_max_rotation_loss_result,valid_position_loss_result,valid_reg_loss_result,valid_rotation_loss_result,z_enc,z_plan
0,851,380,1610408996,0.03924443945288658,0.03924443945288658,2.9999999242136255e-05,0.01442970521748066,0.01442970521748066,0.0003599937481340021,0.003599937306717038,0.004055124707520008,0.00949581153690815,0.00426496472209692,6.994671821594238,0.0036360761150717735,0.008780863136053085,0.023958047851920128,0.008973243646323681,0.8088335990905762,3.6922600269317627,0.0032548662275075912,6.412694454193115,0.00924779660999775,,
1,2031,1100,1610410176,0.024524198845028877,0.024524198845028877,2.9999999242136255e-05,0.008596733212471008,0.008596733212471008,0.0004871333949267864,0.004871333483606577,0.0024462861474603415,0.009743958711624146,0.0026329495012760162,6.222092628479004,0.002234277781099081,0.009026071056723595,0.029017869383096695,0.009201165288686752,0.7708407640457153,3.7978062629699707,0.0023433826863765717,5.8364973068237305,0.009044825099408627,,
2,2096,1140,1610410241,0.03265240043401718,0.03265240043401718,2.9999999242136255e-05,0.011428681202232838,0.011428681202232838,0.0005820413352921605,0.0058204131200909615,0.0024897451512515545,0.009885894134640694,0.002676918637007475,6.239110469818115,0.0024111024104058743,0.009278394281864166,0.029293570667505264,0.009451809339225292,0.7212907075881958,3.728884696960449,0.0024790307506918907,5.780525207519531,0.009406028315424919,,
3,2562,1420,1610410707,0.028071656823158264,0.028071656823158264,2.9999999242136255e-05,0.009949148632586002,0.009949148632586002,0.0008655260317027569,0.008655261248350143,0.0023254381958395243,0.010119055397808552,0.0025191570166498423,6.457300662994385,0.002236191416159272,0.009508786723017693,0.030810263007879257,0.009688053280115128,0.709362268447876,4.143550872802734,0.0023879429791122675,5.975549697875977,0.00952913984656334,,
4,3378,1920,1610411523,0.025029772892594337,0.025029772892594337,2.9999999242136255e-05,0.009428532794117928,0.009428531862795353,0.00039268151158466935,0.003926814533770084,0.0020211904775351286,0.010275534354150295,0.0022193025797605515,6.603734493255615,0.0019623832777142525,0.009442291222512722,0.029884207993745804,0.009623989462852478,0.6730880737304688,3.7431514263153076,0.002282747533172369,6.056632041931152,0.00978786125779152,,
5,3577,2040,1610411722,0.022347906604409218,0.022347906604409218,2.9999999242136255e-05,0.008889591321349144,0.008889591321349144,0.0004401664191391319,0.00440166424959898,0.0020037011709064245,0.010360220447182655,0.0022022477351129055,6.618221282958984,0.0020129557233303785,0.009466882795095444,0.03025437332689762,0.009653039276599884,0.7309773564338684,4.17990779876709,0.0022340165451169014,6.205239295959473,0.009770584292709827,,
6,3848,2200,1610411993,0.02691933512687683,0.02691933512687683,2.9999999242136255e-05,0.010851466096937656,0.010851466096937656,0.0006005269242450595,0.0060052708722651005,0.001989698503166437,0.010387370362877846,0.0021861097775399685,6.547050476074219,0.0019397239666432142,0.009590712375938892,0.030710790306329727,0.009776649996638298,0.7402716875076294,3.9490113258361816,0.002303031738847494,6.197915077209473,0.009838368743658066,,
7,4254,2440,1610412399,0.026765111833810806,0.026765111833810806,2.9999999242136255e-05,0.01007787510752678,0.01007787510752678,0.0004258383414708078,0.004258383065462112,0.0018634473672136664,0.010361340828239918,0.0020640355069190264,6.686251163482666,0.001865973463281989,0.009625151753425598,0.030544394627213478,0.009810848161578178,0.6450686454772949,4.2492451667785645,0.0021697618067264557,6.189898490905762,0.010107457637786865,,
8,4686,2700,1610412831,0.023819196969270706,0.023819196969270706,2.9999999242136255e-05,0.00924376118928194,0.00924376118928194,0.00045150279765948653,0.0045150276273489,0.0017984125297516584,0.010450808331370354,0.0020014855545014143,6.769103050231934,0.0018143093911930919,0.009540154598653316,0.02937926910817623,0.009730201214551926,0.7220162749290466,4.094963550567627,0.0021767225116491318,6.33489465713501,0.010290546342730522,,
9,4889,2820,1610413034,0.0209951214492321,0.0209951214492321,2.9999999242136255e-05,0.008523724973201752,0.008523724973201752,0.000489726779051125,0.0048972684890031815,0.0017919337842613459,0.010430133901536465,0.001995096681639552,6.77209997177124,0.0017252760007977486,0.00954622495919466,0.02935873344540596,0.009739406406879425,0.7584314346313477,4.091396331787109,0.002247248776257038,6.439378261566162,0.010241031646728516,,
