,_runtime,_step,_timestamp,train_loss_result,valid_gripper_loss_result,valid_loss_result,valid_max_position_loss_result,valid_max_rotation_loss_result,valid_position_loss_result,valid_rotation_loss_result
0,274,0,1609670874,0.043750450015068054,0.06888571381568909,0.02962445095181465,2.5871200561523438,5.796080112457275,0.012769529595971107,0.0333922803401947
1,403,80,1609671003,0.014329666271805763,0.031141018494963646,0.013241480104625225,2.371859073638916,5.0019378662109375,0.006625222973525524,0.013891223818063736
2,439,100,1609671039,0.012532733380794525,0.029207268729805946,0.012032989412546158,2.3329415321350098,4.854852676391602,0.005980364978313446,0.012360849417746067
3,758,280,1609671358,0.008341087028384209,0.020804211497306824,0.007923505268990993,1.9296748638153076,4.417179584503174,0.003865504404529929,0.007687936536967754
4,794,300,1609671394,0.008473682217299938,0.02060118317604065,0.0079011470079422,1.949770450592041,3.9819416999816895,0.004043424502015114,0.00752552505582571
5,900,360,1609671500,0.007547444198280573,0.018825437873601913,0.007042804267257452,1.8531450033187866,4.388305187225342,0.003267336403951049,0.006890726741403341
6,938,380,1609671538,0.007217243313789368,0.018089521676301956,0.007009888533502817,1.7919950485229492,4.118891716003418,0.0035090965684503317,0.006817469839006662
7,974,400,1609671574,0.007670485880225897,0.017877187579870224,0.006812600884586573,1.8736523389816284,4.213482856750488,0.003365896176546812,0.006571111269295216
8,1044,440,1609671644,0.0070775649510324,0.01714448258280754,0.006541757844388485,1.7831555604934692,4.103169918060303,0.003302226308733225,0.006247048266232014
9,1079,460,1609671679,0.007009821943938732,0.016880374401807785,0.0063858916983008385,1.7224037647247314,4.192216396331787,0.003027701983228326,0.006245920434594154
10,1114,480,1609671714,0.006376767065376043,0.016427038237452507,0.006041662767529488,1.7242671251296997,3.993499994277954,0.00274227699264884,0.005879256874322891
11,1187,520,1609671787,0.006268791854381561,0.015815449878573418,0.006078224629163742,1.667341947555542,4.069487571716309,0.0029689825605601072,0.00594172440469265
12,1296,580,1609671896,0.0058123646304011345,0.015118474140763283,0.005580976605415344,1.6567856073379517,3.957306385040283,0.002575151389464736,0.0054076374508440495
13,1443,660,1609672043,0.0058932797983288765,0.013325881212949753,0.005205496214330196,1.5979833602905273,3.90218448638916,0.0025121639482676983,0.005192032549530268
14,1480,680,1609672080,0.0053114378824830055,0.013754229992628098,0.005520363338291645,1.5850307941436768,3.7496209144592285,0.003071136772632599,0.005224967375397682
15,1515,700,1609672115,0.005665750242769718,0.01362677663564682,0.005121843423694372,1.5407404899597168,4.158872127532959,0.0023802006617188454,0.005028507672250271
